x,y
558.5,423.5
562.5,647.5
581.5,713.5
588.5,313.5
593.5,787.5
604.5,443.5
606.5,559.5
608.5,733.5
610.5,726.5
614.5,320.5
622.5,412.5
623.5,316.5
624.5,221.5
642.5,712.5
646.5,195.5
647.5,566.5
647.5,598.5
648.5,535.5
648.5,542.5
651.5,561.5
658.5,511.5
669.5,743.5
673.5,586.5
686.5,361.5
689.5,583.5
705.5,596.5
712.5,591.5
717.5,419.5
742.5,276.5
750.5,254.5
752.5,580.5
782.5,451.5
387.5,872.5
625.5,208.5
662.5,632.5
738.5,418.5
316.5,627.5
109.5,659.5
259.5,547.5
344.5,673.5
346.5,489.5
349.5,494.5
355.5,883.5
357.5,715.5
367.5,750.5
389.5,41.5
396.5,506.5
437.5,540.5
466.5,259.5
474.5,274.5
478.5,663.5
527.5,269.5
531.5,437.5
549.5,695.5
554.5,860.5
653.5,489.5
717.5,396.5
731.5,254.5
738.5,300.5
748.5,478.5
788.5,250.5
305.5,436.5
397.5,516.5
461.5,332.5
564.5,280.5
588.5,345.5
542.5,464.5
552.5,434.5
104.5,621.5
233.5,624.5
246.5,745.5
381.5,884.5
405.5,916.5
411.5,138.5
413.5,657.5
428.5,534.5
450.5,320.5
453.5,734.5
539.5,825.5
573.5,869.5
586.5,574.5
683.5,228.5
714.5,354.5
789.5,398.5
132.5,716.5
154.5,653.5
212.5,679.5
221.5,697.5
252.5,776.5
270.5,765.5
327.5,581.5
341.5,548.5
348.5,846.5
353.5,728.5
360.5,642.5
367.5,845.5
373.5,832.5
377.5,596.5
377.5,769.5
380.5,677.5
385.5,135.5
385.5,846.5
395.5,882.5
397.5,959.5
398.5,586.5
402.5,80.5
402.5,826.5
410.5,607.5
411.5,129.5
414.5,745.5
416.5,868.5
417.5,944.5
419.5,782.5
421.5,286.5
421.5,838.5
422.5,952.5
423.5,847.5
428.5,187.5
431.5,867.5
440.5,662.5
440.5,944.5
444.5,915.5
444.5,950.5
445.5,760.5
451.5,774.5
456.5,677.5
458.5,329.5
461.5,261.5
461.5,768.5
466.5,318.5
466.5,722.5
484.5,798.5
485.5,780.5
489.5,224.5
498.5,554.5
500.5,559.5
500.5,821.5
505.5,570.5
508.5,698.5
509.5,446.5
518.5,315.5
518.5,810.5
526.5,789.5
528.5,262.5
532.5,626.5
540.5,673.5
550.5,809.5
551.5,846.5
556.5,333.5
559.5,339.5
560.5,738.5
575.5,344.5
585.5,750.5
596.5,651.5
606.5,481.5
614.5,543.5
621.5,594.5
640.5,395.5
640.5,432.5
655.5,410.5
656.5,464.5
657.5,745.5
667.5,754.5
682.5,759.5
685.5,383.5
691.5,391.5
731.5,382.5
731.5,461.5
741.5,567.5
759.5,279.5
767.5,282.5
244.5,776.5
249.5,570.5
606.5,609.5
722.5,455.5
768.5,599.5
254.5,726.5
360.5,629.5
374.5,607.5
478.5,226.5
785.5,397.5
74.5,635.5
143.5,738.5
151.5,675.5
256.5,599.5
265.5,588.5
300.5,568.5
317.5,612.5
324.5,620.5
336.5,785.5
357.5,814.5
360.5,910.5
372.5,579.5
380.5,617.5
387.5,180.5
401.5,982.5
462.5,283.5
466.5,407.5
473.5,543.5
494.5,761.5
501.5,701.5
513.5,452.5
518.5,264.5
555.5,714.5
583.5,374.5
593.5,524.5
608.5,326.5
615.5,378.5
624.5,383.5
637.5,784.5
667.5,637.5
715.5,587.5
720.5,367.5
727.5,396.5
745.5,411.5
269.5,543.5
334.5,639.5
422.5,564.5
477.5,190.5
573.5,702.5
592.5,460.5
709.5,658.5
617.5,514.5
46.5,605.5
151.5,669.5
167.5,751.5
183.5,755.5
296.5,719.5
328.5,828.5
338.5,439.5
340.5,140.5
342.5,583.5
365.5,784.5
387.5,48.5
395.5,814.5
401.5,518.5
415.5,808.5
496.5,699.5
553.5,647.5
634.5,436.5
671.5,674.5
582.5,547.5
134.5,678.5
138.5,686.5
153.5,783.5
171.5,763.5
195.5,628.5
213.5,736.5
231.5,672.5
241.5,716.5
244.5,627.5
250.5,716.5
258.5,584.5
260.5,555.5
263.5,567.5
